"Source:","C:\Users\rubenelportero\Desktop\Making Devices\Bytes Counter\Kicad\BytesCounter\BytesCounter.sch"
"Date:","18/07/2021 20:42:39"
"Tool:","Eeschema (5.1.10)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","32"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Allied_Number","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","RS Part Number","RS Price/Stock"
"","","C1","100nF","SamacSys_Parts:GCG21BR71H154KA01K","CAPC2012X145N","https://psearch.en.murata.com/capacitor/product/GCG21BR71H154KA01%23.html","","Capacitor L=2.0mm W=1.25mm T=1.25mm","1.45","Murata Electronics","GCG21BR71H154KA01K","","","",""
"","","C2","100nF","SamacSys_Parts:GCG21BR71H154KA01K","CAPC2012X145N","https://psearch.en.murata.com/capacitor/product/GCG21BR71H154KA01%23.html","","Capacitor L=2.0mm W=1.25mm T=1.25mm","1.45","Murata Electronics","GCG21BR71H154KA01K","","","",""
"","","C3","100nF","SamacSys_Parts:GCG21BR71H154KA01K","CAPC2012X145N","https://psearch.en.murata.com/capacitor/product/GCG21BR71H154KA01%23.html","","Capacitor L=2.0mm W=1.25mm T=1.25mm","1.45","Murata Electronics","GCG21BR71H154KA01K","","","",""
"","","IC1","PIC18LF14K50-I_SO","SamacSys_Parts:PIC18LF14K50-I_SO","SOIC127P1030X265-20N","http://uk.rs-online.com/web/p/products/6669239P","70047097","MCU 16K Flash 768 RAM USB 2.0 SOIC20","2.65","Microchip","PIC18LF14K50-I/SO","","","6669239P","http://uk.rs-online.com/web/p/products/6669239P"
"","","J1","Pickit","SamacSys_Parts:M20-9990645","HDRV6W66P0X254_1X6_1524X254X874P","http://uk.rs-online.com/web/p/products/6812994P","R1052705","M20 Header, Pin, Sil, Vertical, 6 W HARWIN M20 Series, 2.54mm Pitch 6 Way 1 Row Straight Pin Header, Through Hole, Solder Termination","8.74","Harwin","M20-9990645","","","6812994P","http://uk.rs-online.com/web/p/products/6812994P"
"","","LED1","LTST-C171GKT","SamacSys_Parts:LTST-C171GKT","LEDC2012X90N","http://uk.rs-online.com/web/p/products/6920935P","","Lite-On LTST-C171GKT, CHIPLED 0805 569 nm Green LED, 2012 (0805) SMD package","0.9","Lite-On","LTST-C171GKT","","","6920935P","http://uk.rs-online.com/web/p/products/6920935P"
"","","LS1","TMB12A05","SamacSys_Parts:TMB12A05","TMB12A05","https://datasheet.lcsc.com/szlcsc/Jiangsu-Huaneng-Elec-TMB12A05_C96093.pdf","","12*9.5 Buzzers RoHS","9.5","Jiangsu Huaneng Elec","TMB12A05","","","",""
"","","Q1","SMMBT5551LT1G","SamacSys_Parts:SMMBT5551LT1G","SOT96P237X111-3N","http://uk.rs-online.com/web/p/products/1841498P","70300580","NPN Bipolar Transistor, 600 mA 160 V, 3-pin SOT-23","1.11","ON Semiconductor","SMMBT5551LT1G","","","1841498P","http://uk.rs-online.com/web/p/products/1841498P"
"","","Q2","SMMBT5551LT1G","SamacSys_Parts:SMMBT5551LT1G","SOT96P237X111-3N","http://uk.rs-online.com/web/p/products/1841498P","70300580","NPN Bipolar Transistor, 600 mA 160 V, 3-pin SOT-23","1.11","ON Semiconductor","SMMBT5551LT1G","","","1841498P","http://uk.rs-online.com/web/p/products/1841498P"
"","","Q3","SMMBT5551LT1G","SamacSys_Parts:SMMBT5551LT1G","SOT96P237X111-3N","http://uk.rs-online.com/web/p/products/1841498P","70300580","NPN Bipolar Transistor, 600 mA 160 V, 3-pin SOT-23","1.11","ON Semiconductor","SMMBT5551LT1G","","","1841498P","http://uk.rs-online.com/web/p/products/1841498P"
"","","Q4","SMMBT5551LT1G","SamacSys_Parts:SMMBT5551LT1G","SOT96P237X111-3N","http://uk.rs-online.com/web/p/products/1841498P","70300580","NPN Bipolar Transistor, 600 mA 160 V, 3-pin SOT-23","1.11","ON Semiconductor","SMMBT5551LT1G","","","1841498P","http://uk.rs-online.com/web/p/products/1841498P"
"","","Q5","SMMBT5551LT1G","SamacSys_Parts:SMMBT5551LT1G","SOT96P237X111-3N","http://uk.rs-online.com/web/p/products/1841498P","70300580","NPN Bipolar Transistor, 600 mA 160 V, 3-pin SOT-23","1.11","ON Semiconductor","SMMBT5551LT1G","","","1841498P","http://uk.rs-online.com/web/p/products/1841498P"
"","","R1","4k7","SamacSys_Parts:KTR10EZPF4220","RESC2012X65N","http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ktr.pdf","","ROHM 0805 Resistor Chip","0.65","ROHM Semiconductor","KTR10EZPF4220","","","",""
"","","R2","10k","SamacSys_Parts:KTR10EZPF4220","RESC2012X65N","http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ktr.pdf","","ROHM 0805 Resistor Chip","0.65","ROHM Semiconductor","KTR10EZPF4220","","","",""
"","","R3","220","SamacSys_Parts:KTR10EZPF4220","RESC2012X65N","http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ktr.pdf","","ROHM 0805 Resistor Chip","0.65","ROHM Semiconductor","KTR10EZPF4220","","","",""
"","","R4","220","SamacSys_Parts:KTR10EZPF4220","RESC2012X65N","http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ktr.pdf","","ROHM 0805 Resistor Chip","0.65","ROHM Semiconductor","KTR10EZPF4220","","","",""
"","","R5","4k7","SamacSys_Parts:KTR10EZPF4220","RESC2012X65N","http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ktr.pdf","","ROHM 0805 Resistor Chip","0.65","ROHM Semiconductor","KTR10EZPF4220","","","",""
"","","R6","220","SamacSys_Parts:KTR10EZPF4220","RESC2012X65N","http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ktr.pdf","","ROHM 0805 Resistor Chip","0.65","ROHM Semiconductor","KTR10EZPF4220","","","",""
"","","R7","4k7","SamacSys_Parts:KTR10EZPF4220","RESC2012X65N","http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ktr.pdf","","ROHM 0805 Resistor Chip","0.65","ROHM Semiconductor","KTR10EZPF4220","","","",""
"","","R8","220","SamacSys_Parts:KTR10EZPF4220","RESC2012X65N","http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ktr.pdf","","ROHM 0805 Resistor Chip","0.65","ROHM Semiconductor","KTR10EZPF4220","","","",""
"","","R9","4k7","SamacSys_Parts:KTR10EZPF4220","RESC2012X65N","http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ktr.pdf","","ROHM 0805 Resistor Chip","0.65","ROHM Semiconductor","KTR10EZPF4220","","","",""
"","","R10","220","SamacSys_Parts:KTR10EZPF4220","RESC2012X65N","http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ktr.pdf","","ROHM 0805 Resistor Chip","0.65","ROHM Semiconductor","KTR10EZPF4220","","","",""
"","","R11","10k","SamacSys_Parts:KTR10EZPF4220","RESC2012X65N","http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ktr.pdf","","ROHM 0805 Resistor Chip","0.65","ROHM Semiconductor","KTR10EZPF4220","","","",""
"","","R12","10k","SamacSys_Parts:KTR10EZPF4220","RESC2012X65N","http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ktr.pdf","","ROHM 0805 Resistor Chip","0.65","ROHM Semiconductor","KTR10EZPF4220","","","",""
"","","R13","4k7","SamacSys_Parts:KTR10EZPF4220","RESC2012X65N","http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ktr.pdf","","ROHM 0805 Resistor Chip","0.65","ROHM Semiconductor","KTR10EZPF4220","","","",""
"","","R14","220","SamacSys_Parts:KTR10EZPF4220","RESC2012X65N","http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ktr.pdf","","ROHM 0805 Resistor Chip","0.65","ROHM Semiconductor","KTR10EZPF4220","","","",""
"","","R15","10k","SamacSys_Parts:KTR10EZPF4220","RESC2012X65N","http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ktr.pdf","","ROHM 0805 Resistor Chip","0.65","ROHM Semiconductor","KTR10EZPF4220","","","",""
"","","R16","10k","SamacSys_Parts:KTR10EZPF4220","RESC2012X65N","http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ktr.pdf","","ROHM 0805 Resistor Chip","0.65","ROHM Semiconductor","KTR10EZPF4220","","","",""
"","","S1","B3F-4050-SamacSys_Parts","HVolt_sub-system-FIT:B3F-4050-SamacSys_Parts","B3F-4000","https://www.omron.com/ecb/products/pdf/en-b3f.pdf","","lvory Plunger Tactile Switch, SPST-NO 0.05 A@ 24 V dc 3mm","","Omron Electronics","B3F-4050","653-B3F-4050","https://www.mouser.com/Search/Refine.aspx?Keyword=653-B3F-4050","6866768P","http://uk.rs-online.com/web/p/products/6866768P"
"","","S2","B3F-4050-SamacSys_Parts","HVolt_sub-system-FIT:B3F-4050-SamacSys_Parts","B3F-4000","https://www.omron.com/ecb/products/pdf/en-b3f.pdf","","lvory Plunger Tactile Switch, SPST-NO 0.05 A@ 24 V dc 3mm","","Omron Electronics","B3F-4050","653-B3F-4050","https://www.mouser.com/Search/Refine.aspx?Keyword=653-B3F-4050","6866768P","http://uk.rs-online.com/web/p/products/6866768P"
"","","U1","CC56-12EWA","Display_Character:CC56-12EWA","Display_7Segment:CA56-12EWA","http://www.kingbrightusa.com/images/catalog/SPEC/CA56-12EWA.pdf","","","","","","","","",""
"","","U2","CH075-2032","SamacSys_Parts:CH075-2032","CH0752032","","","RS Pro Battery Holder","6.6","RS Components","CH075-2032","","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Allied_Number","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","RS Part Number","RS Price/Stock"
"1","3","C1, C2, C3","100nF","SamacSys_Parts:GCG21BR71H154KA01K","CAPC2012X145N","https://psearch.en.murata.com/capacitor/product/GCG21BR71H154KA01%23.html","","Capacitor L=2.0mm W=1.25mm T=1.25mm","1.45","Murata Electronics","GCG21BR71H154KA01K","","","",""
"2","1","IC1","PIC18LF14K50-I_SO","SamacSys_Parts:PIC18LF14K50-I_SO","SOIC127P1030X265-20N","http://uk.rs-online.com/web/p/products/6669239P","70047097","MCU 16K Flash 768 RAM USB 2.0 SOIC20","2.65","Microchip","PIC18LF14K50-I/SO","","","6669239P","http://uk.rs-online.com/web/p/products/6669239P"
"3","1","J1","Pickit","SamacSys_Parts:M20-9990645","HDRV6W66P0X254_1X6_1524X254X874P","http://uk.rs-online.com/web/p/products/6812994P","R1052705","M20 Header, Pin, Sil, Vertical, 6 W HARWIN M20 Series, 2.54mm Pitch 6 Way 1 Row Straight Pin Header, Through Hole, Solder Termination","8.74","Harwin","M20-9990645","","","6812994P","http://uk.rs-online.com/web/p/products/6812994P"
"4","1","LED1","LTST-C171GKT","SamacSys_Parts:LTST-C171GKT","LEDC2012X90N","http://uk.rs-online.com/web/p/products/6920935P","","Lite-On LTST-C171GKT, CHIPLED 0805 569 nm Green LED, 2012 (0805) SMD package","0.9","Lite-On","LTST-C171GKT","","","6920935P","http://uk.rs-online.com/web/p/products/6920935P"
"5","1","LS1","TMB12A05","SamacSys_Parts:TMB12A05","TMB12A05","https://datasheet.lcsc.com/szlcsc/Jiangsu-Huaneng-Elec-TMB12A05_C96093.pdf","","12*9.5 Buzzers RoHS","9.5","Jiangsu Huaneng Elec","TMB12A05","","","",""
"6","5","Q1, Q2, Q3, Q4, Q5","SMMBT5551LT1G","SamacSys_Parts:SMMBT5551LT1G","SOT96P237X111-3N","http://uk.rs-online.com/web/p/products/1841498P","70300580","NPN Bipolar Transistor, 600 mA 160 V, 3-pin SOT-23","1.11","ON Semiconductor","SMMBT5551LT1G","","","1841498P","http://uk.rs-online.com/web/p/products/1841498P"
"7","5","R1, R5, R7, R9, R13","4k7","SamacSys_Parts:KTR10EZPF4220","RESC2012X65N","http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ktr.pdf","","ROHM 0805 Resistor Chip","0.65","ROHM Semiconductor","KTR10EZPF4220","","","",""
"8","5","R2, R11, R12, R15, R16","10k","SamacSys_Parts:KTR10EZPF4220","RESC2012X65N","http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ktr.pdf","","ROHM 0805 Resistor Chip","0.65","ROHM Semiconductor","KTR10EZPF4220","","","",""
"9","6","R3, R4, R6, R8, R10, R14","220","SamacSys_Parts:KTR10EZPF4220","RESC2012X65N","http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ktr.pdf","","ROHM 0805 Resistor Chip","0.65","ROHM Semiconductor","KTR10EZPF4220","","","",""
"10","2","S1, S2","B3F-4050-SamacSys_Parts","HVolt_sub-system-FIT:B3F-4050-SamacSys_Parts","B3F-4000","https://www.omron.com/ecb/products/pdf/en-b3f.pdf","","lvory Plunger Tactile Switch, SPST-NO 0.05 A@ 24 V dc 3mm","","Omron Electronics","B3F-4050","653-B3F-4050","https://www.mouser.com/Search/Refine.aspx?Keyword=653-B3F-4050","6866768P","http://uk.rs-online.com/web/p/products/6866768P"
"11","1","U1","CC56-12EWA","Display_Character:CC56-12EWA","Display_7Segment:CA56-12EWA","http://www.kingbrightusa.com/images/catalog/SPEC/CA56-12EWA.pdf","","","","","","","","",""
"12","1","U2","CH075-2032","SamacSys_Parts:CH075-2032","CH0752032","","","RS Pro Battery Holder","6.6","RS Components","CH075-2032","","","",""
