Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","CAPC2012X145N",124.290000,-65.254000,270.000000,top
"C2","100nF","CAPC2012X145N",118.377000,-73.250000,0.000000,top
"C3","100nF","CAPC2012X145N",127.840000,-72.232000,0.000000,top
"D1","ZLLS410TA","SOD2513X120N",122.412000,-73.250000,0.000000,top
"D2","ZLLS410TA","SOD2513X120N",131.912000,-69.982000,180.000000,top
"IC1","PIC18LF14K50-I_SO","SSOP-20_5.3x7.2mm_P0.65mm",130.416000,-62.726000,270.000000,top
"LED1","LTST-C171GKT","LEDC2012X90N",121.792000,-65.942000,90.000000,top
"Q1","SMMBT5551LT1G","SOT96P237X111-3N",108.588000,-51.264000,90.000000,top
"Q2","SMMBT5551LT1G","SOT96P237X111-3N",116.716000,-51.264000,90.000000,top
"Q3","SMMBT5551LT1G","SOT96P237X111-3N",124.844000,-51.264000,90.000000,top
"Q4","SMMBT5551LT1G","SOT96P237X111-3N",132.972000,-51.264000,90.000000,top
"Q5","SMMBT5551LT1G","SOT96P237X111-3N",117.346000,-64.384000,270.000000,top
"R1","4k7","RESC2012X65N",107.572000,-55.074000,90.000000,top
"R2","10k","RESC2012X65N",124.290000,-61.764000,90.000000,top
"R3","220","RESC2012X65N",121.826000,-62.009000,270.000000,top
"R4","100","RESC2012X65N",108.588000,-47.454000,90.000000,top
"R5","4k7","RESC2012X65N",115.700000,-55.074000,90.000000,top
"R6","100","RESC2012X65N",116.716000,-47.454000,90.000000,top
"R7","4k7","RESC2012X65N",123.828000,-55.074000,90.000000,top
"R8","100","RESC2012X65N",124.844000,-47.454000,90.000000,top
"R9","4k7","RESC2012X65N",131.956000,-55.074000,90.000000,top
"R10","100","RESC2012X65N",132.972000,-47.454000,90.000000,top
"R11","10k","RESC2012X65N",110.672000,-73.250000,180.000000,top
"R12","10k","RESC2012X65N",114.617000,-73.250000,0.000000,top
"R13","4k7","RESC2012X65N",117.250000,-61.250000,0.000000,top
"R14","220","RESC2012X65N",117.346000,-67.686000,0.000000,top
"R15","10k","RESC2012X65N",127.726332,-69.982000,0.000000,top
"R16","10k","RESC2012X65N",131.565666,-72.232000,180.000000,top
