"Source:","C:\Users\rubenelportero\Desktop\Making Devices\Projects\Bytes Counter\v1\Kicad\BytesCounter\BytesCounter.sch"
"Date:","19/08/2022 09:49:35"
"Tool:","Eeschema (5.1.12-1-g0a0a2da680)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","34"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Allied_Number","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","RS Part Number","RS Price/Stock"
"","","C1","100nF","BytesCounter-rescue:GCG21BR71H154KA01K-SamacSys_Parts","CAPC2012X145N","https://psearch.en.murata.com/capacitor/product/GCG21BR71H154KA01%23.html","","Capacitor L=2.0mm W=1.25mm T=1.25mm","1.45","Murata Electronics","GCG21BR71H154KA01K","","","",""
"","","C2","100nF","BytesCounter-rescue:GCG21BR71H154KA01K-SamacSys_Parts","CAPC2012X145N","https://psearch.en.murata.com/capacitor/product/GCG21BR71H154KA01%23.html","","Capacitor L=2.0mm W=1.25mm T=1.25mm","1.45","Murata Electronics","GCG21BR71H154KA01K","","","",""
"","","C3","100nF","BytesCounter-rescue:GCG21BR71H154KA01K-SamacSys_Parts","CAPC2012X145N","https://psearch.en.murata.com/capacitor/product/GCG21BR71H154KA01%23.html","","Capacitor L=2.0mm W=1.25mm T=1.25mm","1.45","Murata Electronics","GCG21BR71H154KA01K","","","",""
"","","D1","ZLLS410TA","Library_Loader:ZLLS410TA","SOD2513X120N","http://uk.rs-online.com/web/p/products/7515203P","","Diodes Inc ZLLS410TA, SMT Schottky Diode, 10V 750mA, 3ns, 2-Pin SOD-323","1.2","Diodes Inc.","ZLLS410TA","","","7515203P","http://uk.rs-online.com/web/p/products/7515203P"
"","","D2","ZLLS410TA","Library_Loader:ZLLS410TA","SOD2513X120N","http://uk.rs-online.com/web/p/products/7515203P","","Diodes Inc ZLLS410TA, SMT Schottky Diode, 10V 750mA, 3ns, 2-Pin SOD-323","1.2","Diodes Inc.","ZLLS410TA","","","7515203P","http://uk.rs-online.com/web/p/products/7515203P"
"","","IC1","PIC18LF14K50-I_SO","BytesCounter-rescue:PIC18LF14K50-I_SO-SamacSys_Parts","Package_SO:SSOP-20_5.3x7.2mm_P0.65mm","http://uk.rs-online.com/web/p/products/6669239P","70047097","MCU 16K Flash 768 RAM USB 2.0 SOIC20","2.65","Microchip","PIC18LF14K50-I/SO","","","6669239P","http://uk.rs-online.com/web/p/products/6669239P"
"","","J1","TC2030-MCP-NL","Library_Loader:TC2030-MCP-NL","TC2030-MCP-NL","http://uk.rs-online.com/web/p/products/8252561","","TC2030-MCP-NL PCB Footprint (no legs)","","Microchip","TC2030-MCP-NL","","","8252561","http://uk.rs-online.com/web/p/products/8252561"
"","","LED1","LTST-C171GKT","BytesCounter-rescue:LTST-C171GKT-SamacSys_Parts","LEDC2012X90N","http://uk.rs-online.com/web/p/products/6920935P","","Lite-On LTST-C171GKT, CHIPLED 0805 569 nm Green LED, 2012 (0805) SMD package","0.9","Lite-On","LTST-C171GKT","","","6920935P","http://uk.rs-online.com/web/p/products/6920935P"
"","","LS1","TMB12A05","BytesCounter-rescue:TMB12A05-SamacSys_Parts","TMB12A05","https://datasheet.lcsc.com/szlcsc/Jiangsu-Huaneng-Elec-TMB12A05_C96093.pdf","","12*9.5 Buzzers RoHS","9.5","Jiangsu Huaneng Elec","TMB12A05","","","",""
"","","Q1","SMMBT5551LT1G","BytesCounter-rescue:SMMBT5551LT1G-SamacSys_Parts","SOT96P237X111-3N","http://uk.rs-online.com/web/p/products/1841498P","70300580","NPN Bipolar Transistor, 600 mA 160 V, 3-pin SOT-23","1.11","ON Semiconductor","SMMBT5551LT1G","","","1841498P","http://uk.rs-online.com/web/p/products/1841498P"
"","","Q2","SMMBT5551LT1G","BytesCounter-rescue:SMMBT5551LT1G-SamacSys_Parts","SOT96P237X111-3N","http://uk.rs-online.com/web/p/products/1841498P","70300580","NPN Bipolar Transistor, 600 mA 160 V, 3-pin SOT-23","1.11","ON Semiconductor","SMMBT5551LT1G","","","1841498P","http://uk.rs-online.com/web/p/products/1841498P"
"","","Q3","SMMBT5551LT1G","BytesCounter-rescue:SMMBT5551LT1G-SamacSys_Parts","SOT96P237X111-3N","http://uk.rs-online.com/web/p/products/1841498P","70300580","NPN Bipolar Transistor, 600 mA 160 V, 3-pin SOT-23","1.11","ON Semiconductor","SMMBT5551LT1G","","","1841498P","http://uk.rs-online.com/web/p/products/1841498P"
"","","Q4","SMMBT5551LT1G","BytesCounter-rescue:SMMBT5551LT1G-SamacSys_Parts","SOT96P237X111-3N","http://uk.rs-online.com/web/p/products/1841498P","70300580","NPN Bipolar Transistor, 600 mA 160 V, 3-pin SOT-23","1.11","ON Semiconductor","SMMBT5551LT1G","","","1841498P","http://uk.rs-online.com/web/p/products/1841498P"
"","","Q5","SMMBT5551LT1G","BytesCounter-rescue:SMMBT5551LT1G-SamacSys_Parts","SOT96P237X111-3N","http://uk.rs-online.com/web/p/products/1841498P","70300580","NPN Bipolar Transistor, 600 mA 160 V, 3-pin SOT-23","1.11","ON Semiconductor","SMMBT5551LT1G","","","1841498P","http://uk.rs-online.com/web/p/products/1841498P"
"","","R1","4k7","BytesCounter-rescue:KTR10EZPF4220-SamacSys_Parts","RESC2012X65N","http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ktr.pdf","","ROHM 0805 Resistor Chip","0.65","ROHM Semiconductor","KTR10EZPF4220","","","",""
"","","R2","10k","BytesCounter-rescue:KTR10EZPF4220-SamacSys_Parts","RESC2012X65N","http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ktr.pdf","","ROHM 0805 Resistor Chip","0.65","ROHM Semiconductor","KTR10EZPF4220","","","",""
"","","R3","220","BytesCounter-rescue:KTR10EZPF4220-SamacSys_Parts","RESC2012X65N","http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ktr.pdf","","ROHM 0805 Resistor Chip","0.65","ROHM Semiconductor","KTR10EZPF4220","","","",""
"","","R4","100","BytesCounter-rescue:KTR10EZPF4220-SamacSys_Parts","RESC2012X65N","http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ktr.pdf","","ROHM 0805 Resistor Chip","0.65","ROHM Semiconductor","KTR10EZPF4220","","","",""
"","","R5","4k7","BytesCounter-rescue:KTR10EZPF4220-SamacSys_Parts","RESC2012X65N","http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ktr.pdf","","ROHM 0805 Resistor Chip","0.65","ROHM Semiconductor","KTR10EZPF4220","","","",""
"","","R6","100","BytesCounter-rescue:KTR10EZPF4220-SamacSys_Parts","RESC2012X65N","http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ktr.pdf","","ROHM 0805 Resistor Chip","0.65","ROHM Semiconductor","KTR10EZPF4220","","","",""
"","","R7","4k7","BytesCounter-rescue:KTR10EZPF4220-SamacSys_Parts","RESC2012X65N","http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ktr.pdf","","ROHM 0805 Resistor Chip","0.65","ROHM Semiconductor","KTR10EZPF4220","","","",""
"","","R8","100","BytesCounter-rescue:KTR10EZPF4220-SamacSys_Parts","RESC2012X65N","http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ktr.pdf","","ROHM 0805 Resistor Chip","0.65","ROHM Semiconductor","KTR10EZPF4220","","","",""
"","","R9","4k7","BytesCounter-rescue:KTR10EZPF4220-SamacSys_Parts","RESC2012X65N","http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ktr.pdf","","ROHM 0805 Resistor Chip","0.65","ROHM Semiconductor","KTR10EZPF4220","","","",""
"","","R10","100","BytesCounter-rescue:KTR10EZPF4220-SamacSys_Parts","RESC2012X65N","http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ktr.pdf","","ROHM 0805 Resistor Chip","0.65","ROHM Semiconductor","KTR10EZPF4220","","","",""
"","","R11","10k","BytesCounter-rescue:KTR10EZPF4220-SamacSys_Parts","RESC2012X65N","http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ktr.pdf","","ROHM 0805 Resistor Chip","0.65","ROHM Semiconductor","KTR10EZPF4220","","","",""
"","","R12","10k","BytesCounter-rescue:KTR10EZPF4220-SamacSys_Parts","RESC2012X65N","http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ktr.pdf","","ROHM 0805 Resistor Chip","0.65","ROHM Semiconductor","KTR10EZPF4220","","","",""
"","","R13","4k7","BytesCounter-rescue:KTR10EZPF4220-SamacSys_Parts","RESC2012X65N","http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ktr.pdf","","ROHM 0805 Resistor Chip","0.65","ROHM Semiconductor","KTR10EZPF4220","","","",""
